,Time,Ticks
0,30.0,159.0
1,30.333334,147.0
2,30.666666,138.0
3,31.0,150.0
4,31.333334,111.0
5,31.666666,108.0
6,32.0,111.0
7,32.333332,120.0
8,32.666668,120.0
9,33.0,117.0
10,33.333332,150.0
11,33.666668,108.0
12,34.0,126.0
13,34.333332,144.0
14,34.666668,123.0
15,35.0,147.0
16,35.333332,81.0
17,35.666668,117.0
18,36.0,126.0
19,36.333332,117.0
20,36.666668,96.0
21,37.0,129.0
22,37.333332,96.0
23,37.666668,105.0
24,38.0,120.0
25,38.333332,99.0
26,38.666668,138.0
27,39.0,114.0
28,39.333332,144.0
29,39.666668,123.0
30,40.0,117.0
31,40.333332,102.0
32,40.666668,87.0
33,41.0,93.0
34,41.333332,114.0
35,41.666668,114.0
36,42.0,93.0
37,42.333332,120.0
38,42.666668,111.0
39,43.0,99.0
40,43.333332,132.0
41,43.666668,123.0
42,44.0,108.0
43,44.333332,96.0
44,44.666668,117.0
45,45.0,81.0
46,45.333332,111.0
47,45.666668,102.0
48,46.0,117.0
49,46.333332,114.0
50,46.666668,84.0
51,47.0,99.0
52,47.333332,132.0
53,47.666668,96.0
54,48.0,102.0
55,48.333332,117.0
56,48.666668,99.0
57,49.0,111.0
58,49.333332,90.0
59,49.666668,90.0
60,50.0,96.0
61,50.333332,108.0
62,50.666668,120.0
63,51.0,75.0
64,51.333332,111.0
65,51.666668,84.0
66,52.0,84.0
67,52.333332,90.0
68,52.666668,93.0
69,53.0,87.0
70,53.333332,87.0
71,53.666668,90.0
72,54.0,81.0
73,54.333332,75.0
74,54.666668,81.0
75,55.0,63.0
76,55.333332,114.0
77,55.666668,90.0
78,56.0,87.0
79,56.333332,105.0
80,56.666668,114.0
81,57.0,102.0
82,57.333332,114.0
83,57.666668,72.0
84,58.0,108.0
85,58.333332,99.0
86,58.666668,84.0
87,59.0,99.0
88,59.333332,81.0
89,59.666668,87.0
90,60.0,84.0
91,60.333332,75.0
92,60.666668,63.0
93,61.0,87.0
94,61.333332,111.0
95,61.666668,69.0
96,62.0,75.0
97,62.333332,96.0
98,62.666668,57.0
99,63.0,93.0
100,63.333332,111.0
101,63.666668,72.0
102,64.0,69.0
103,64.333336,87.0
104,64.666664,69.0
105,65.0,96.0
106,65.333336,84.0
107,65.666664,78.0
108,66.0,87.0
109,66.333336,75.0
110,66.666664,75.0
111,67.0,60.0
112,67.333336,66.0
113,67.666664,78.0
114,68.0,105.0
115,68.333336,111.0
116,68.666664,102.0
117,69.0,81.0
118,69.333336,54.0
119,69.666664,75.0
120,70.0,90.0
121,70.333336,63.0
122,70.666664,84.0
123,71.0,87.0
124,71.333336,99.0
125,71.666664,108.0
126,72.0,75.0
127,72.333336,81.0
128,72.666664,75.0
129,73.0,93.0
130,73.333336,63.0
131,73.666664,99.0
132,74.0,93.0
133,74.333336,42.0
134,74.666664,60.0
135,75.0,99.0
136,75.333336,132.0
137,75.666664,96.0
138,76.0,66.0
139,76.333336,90.0
140,76.666664,87.0
141,77.0,48.0
142,77.333336,60.0
143,77.666664,93.0
144,78.0,69.0
145,78.333336,66.0
146,78.666664,72.0
147,79.0,63.0
148,79.333336,66.0
149,79.666664,84.0
150,80.0,51.0
151,80.333336,96.0
152,80.666664,66.0
153,81.0,57.0
154,81.333336,84.0
155,81.666664,78.0
156,82.0,63.0
157,82.333336,63.0
158,82.666664,99.0
159,83.0,75.0
160,83.333336,75.0
161,83.666664,48.0
162,84.0,51.0
163,84.333336,51.0
164,84.666664,78.0
165,85.0,75.0
166,85.333336,63.0
167,85.666664,111.0
168,86.0,72.0
169,86.333336,54.0
170,86.666664,93.0
171,87.0,66.0
172,87.333336,69.0
173,87.666664,60.0
174,88.0,63.0
175,88.333336,39.0
176,88.666664,81.0
177,89.0,45.0
178,89.333336,63.0
179,89.666664,72.0
180,90.0,57.0
181,90.333336,63.0
182,90.666664,45.0
183,91.0,66.0
184,91.333336,42.0
185,91.666664,72.0
186,92.0,63.0
187,92.333336,60.0
188,92.666664,78.0
189,93.0,63.0
190,93.333336,42.0
191,93.666664,72.0
192,94.0,66.0
193,94.333336,63.0
194,94.666664,78.0
195,95.0,48.0
196,95.333336,96.0
197,95.666664,75.0
198,96.0,45.0
199,96.333336,57.0
200,96.666664,54.0
201,97.0,69.0
202,97.333336,78.0
203,97.666664,63.0
204,98.0,60.0
205,98.333336,57.0
206,98.666664,57.0
207,99.0,48.0
208,99.333336,51.0
209,99.666664,93.0
210,100.0,45.0
211,100.333336,48.0
212,100.666664,57.0
213,101.0,78.0
214,101.333336,42.0
215,101.666664,63.0
216,102.0,48.0
217,102.333336,81.0
218,102.666664,51.0
219,103.0,51.0
220,103.333336,57.0
221,103.666664,48.0
222,104.0,75.0
223,104.333336,60.0
224,104.666664,39.0
225,105.0,39.0
226,105.333336,69.0
227,105.666664,45.0
228,106.0,36.0
229,106.333336,39.0
230,106.666664,75.0
231,107.0,45.0
232,107.333336,27.0
233,107.666664,42.0
234,108.0,39.0
235,108.333336,60.0
236,108.666664,63.0
237,109.0,57.0
238,109.333336,45.0
