 Radioactive Decay Experiment Tue, Mar 10, 2020 12:05 PM
Sample Number	Number of Counts
1	2355
2	2269
3	2345
4	2260
5	2337
6	2379
7	2373
8	2262
9	2305
10	2335
11	2306
12	2320
13	2348
14	2309
15	2312
16	2260
17	2274
18	2290
19	2326
20	2355
21	2368
22	2348
23	2297
24	2343
25	2307
26	2215
27	2335
28	2286
29	2323
30	2396
31	2410
32	2271
33	2322
34	2285
35	2402
36	2302
37	2319
38	2281
39	2354
40	2338
41	2337
42	2317
43	2346
44	2199
45	2320
46	2338
47	2374
48	2238
49	2238
50	2280
51	2360
52	2224
53	2321
54	2288
55	2291
56	2283
57	2359
58	2342
59	2278
60	2314
61	2337
62	2332
63	2302
64	2326
65	2306
66	2341
67	2291
68	2295
69	2303
70	2231
71	2389
72	2330
73	2346
74	2290
75	2290
76	2374
77	2306
78	2397
79	2307
80	2277
81	2347
82	2333
83	2258
84	2395
85	2289
86	2350
87	2329
88	2309
89	2329
90	2424
91	2297
92	2389
93	2260
94	2252
95	2404
96	2317
97	2414
98	2333
99	2334
100	2212
101	2204
102	2266
103	2264
104	2323
105	2355
106	2300
107	2296
108	2352
109	2281
110	2317
111	2283
112	2341
113	2289
114	2294
115	2348
116	2271
117	2234
118	2307
119	2344
120	2309
121	2273
122	2379
123	2260
124	2329
125	2321
126	2395
127	2298
128	2256
129	2389
130	2375
131	2247
132	2384
133	2242
134	2399
135	2298
136	2392
137	2251
138	2317
139	2253
140	2281
141	2345
142	2299
143	2420
144	2363
145	2320
146	2264
147	2331
148	2292
149	2313
150	2391
151	2252
152	2303
153	2239
154	2299
155	2276
156	2364
157	2340
158	2339
159	2345
160	2360
161	2457
162	2309
163	2353
164	2376
165	2406
166	2336
167	2372
168	2298
169	2365
170	2277
171	2303
172	2334
173	2247
174	2284
175	2372
176	2246
177	2303
178	2392
179	2418
180	2365
