 Radioactive Decay Experiment Wed, Mar 04, 2020 12:44 PM
Sample Number	Number of Counts
1	91
2	95
3	108
4	94
5	88
6	92
7	88
8	96
9	78
10	91
11	79
12	95
13	96
14	87
15	89
16	82
17	68
18	78
19	75
20	77
21	86
22	97
23	89
24	70
25	81
26	70
27	68
28	84
29	83
30	73
31	65
32	64
33	88
34	73
35	70
36	83
37	74
38	83
39	72
40	81
41	70
42	76
43	63
44	61
45	76
46	85
47	65
48	85
49	58
50	60
51	53
52	65
53	79
54	60
55	67
56	74
57	79
58	78
59	68
60	73
61	60
62	63
63	75
64	62
65	47
66	70
67	67
68	55
69	71
70	58
71	61
72	58
73	47
74	53
75	49
76	59
77	82
78	59
79	51
80	63
81	47
82	60
83	66
84	53
85	60
86	57
87	70
88	64
89	51
90	52
91	59
92	59
93	67
94	66
95	53
96	63
97	51
98	61
99	56
100	49
101	57
102	50
103	49
104	53
105	70
106	57
107	64
108	49
109	53
110	46
111	41
112	43
113	56
114	50
115	46
116	56
117	54
118	43
119	49
120	51
121	57
122	54
123	70
124	41
125	51
126	38
127	48
128	46
129	46
130	45
131	38
132	40
133	45
134	39
135	49
136	48
137	50
138	46
139	49
140	42
141	44
142	44
143	54
144	54
145	47
146	40
147	45
148	44
149	32
150	32
151	33
152	38
153	50
154	52
155	35
156	45
157	45
158	43
159	47
160	50
161	43
162	33
163	30
164	51
165	41
166	47
167	53
168	42
169	33
170	36
171	30
172	41
173	36
174	39
175	31
176	37
177	45
178	26
179	35
180	45
181	28
182	35
183	33
184	33
185	36
186	38
187	31
188	34
189	37
190	40
191	37
192	40
193	19
194	31
195	29
196	23
197	44
198	21
199	33
200	36
201	34
202	39
203	37
204	34
205	39
206	31
207	34
208	29
209	38
210	27
211	36
212	47
213	41
214	43
215	26
216	35
217	25
218	33
219	40
220	30
221	28
222	30
223	33
224	25
225	30
226	26
227	35
228	27
229	35
230	27
231	31
232	29
233	37
234	29
235	32
236	22
237	26
238	32
239	31
240	21
241	26
242	32
243	28
244	20
245	25
246	25
247	33
248	20
249	34
250	27
251	18
252	33
253	19
254	27
255	37
256	29
257	26
258	36
259	25
260	29
261	24
262	25
263	23
264	22
265	26
266	21
267	18
268	23
269	23
270	30
271	28
272	22
273	31
274	24
275	19
276	19
277	30
278	24
279	22
280	21
281	13
282	15
283	22
284	16
285	26
286	17
287	25
288	21
289	11
290	17
291	25
292	22
293	17
294	26
295	24
296	26
297	20
298	21
299	15
300	30
301	16
302	19
303	23
304	18
305	21
306	19
307	27
308	25
309	21
310	20
311	23
312	23
313	15
314	22
315	22
316	27
317	30
318	24
319	26
320	23
321	19
322	30
323	17
324	12
325	32
326	17
327	21
328	20
329	24
330	19
331	15
332	12
333	21
334	20
335	18
336	18
337	17
338	22
339	18
340	18
341	20
342	13
343	18
344	19
345	18
346	20
347	17
348	19
349	21
350	26
351	21
352	26
353	16
354	22
355	25
356	29
357	20
358	20
359	14
360	16
