 Radioactive Decay Experiment Wed, Mar 04, 2020 10:39 AM
Sample Number	Number of Counts
1	10
2	14
3	13
4	5
5	10
6	12
7	14
8	12
9	16
10	15
11	8
12	11
13	8
14	8
15	16
16	11
17	11
18	10
19	13
20	13
21	11
22	12
23	11
24	14
25	9
26	11
27	13
28	14
29	9
30	14
31	10
32	7
33	12
34	21
35	14
36	10
37	6
38	8
39	9
40	16
41	9
42	16
43	12
44	8
45	7
46	7
47	5
48	14
49	4
50	8
51	14
52	12
53	12
54	12
55	7
56	12
57	10
58	9
59	19
60	11
61	16
62	14
63	12
64	13
65	6
66	17
67	17
68	10
69	11
70	7
71	11
72	11
73	12
74	9
75	6
76	9
77	15
78	17
79	14
80	8
81	8
82	6
83	9
84	11
85	13
86	10
87	5
88	15
89	6
90	15
91	11
92	6
93	9
94	8
95	11
96	7
97	14
98	9
99	14
100	11
101	9
102	7
103	6
104	8
105	10
106	3
107	11
108	13
109	18
110	11
111	11
112	12
113	8
114	11
115	9
116	14
117	10
118	13
119	15
120	18
121	11
122	12
123	18
124	12
125	2
126	13
127	12
128	12
129	8
130	13
131	8
132	18
133	10
134	11
135	16
136	7
137	8
138	19
139	12
140	10
141	11
142	11
143	11
144	8
145	13
146	15
147	9
148	8
149	7
150	8
151	9
152	11
153	14
154	10
155	8
156	12
157	11
158	19
159	10
160	9
161	8
162	13
163	15
164	7
165	11
166	11
167	6
168	6
169	10
170	16
171	12
172	9
173	11
174	9
175	11
176	8
177	10
178	12
179	11
180	8
