 Radioactive Decay Experiment Wed, Mar 11, 2020 11:27 AM
Sample Number	Number of Counts
1	46
2	52
3	42
4	51
5	44
6	58
7	43
8	69
9	42
10	42
11	50
12	45
13	64
14	46
15	55
16	36
17	50
18	50
19	49
20	51
21	51
22	54
23	36
24	49
25	32
26	38
27	42
28	42
29	38
30	48
31	59
32	53
33	49
34	46
35	50
36	37
37	36
38	37
39	40
40	40
41	39
42	50
43	36
44	42
45	48
46	41
47	49
48	27
49	39
50	42
51	39
52	32
53	43
54	32
55	35
56	40
57	33
58	46
59	38
60	48
61	41
62	39
63	34
64	29
65	31
66	38
67	38
68	31
69	40
70	37
71	33
72	44
73	41
74	36
75	32
76	39
77	27
78	37
79	34
80	39
81	38
82	28
83	33
84	44
85	32
86	34
87	39
88	33
89	37
90	30
91	30
92	32
93	36
94	40
95	25
96	37
97	28
98	28
99	30
100	31
101	29
102	29
103	30
104	27
105	25
106	27
107	21
108	38
109	30
110	29
111	35
112	38
113	34
114	38
115	24
116	36
117	33
118	28
119	33
120	27
121	29
122	28
123	25
124	21
125	29
126	37
127	23
128	25
129	32
130	19
131	31
132	37
133	24
134	23
135	29
136	23
137	32
138	28
139	26
140	29
141	25
142	25
143	20
144	22
145	26
146	35
147	37
148	34
149	27
150	18
151	25
152	30
153	21
154	28
155	29
156	33
157	36
158	25
159	27
160	25
161	31
162	21
163	33
164	31
165	14
166	20
167	33
168	44
169	32
170	22
171	30
172	29
173	16
174	20
175	31
176	23
177	22
178	24
179	21
180	22
